Rank,Licensee Name,Total Units,Unique Addresses,Counties,Cities Served,Phone,Score,Owner Name,Owner Email,Owner LinkedIn,Website,Notes
1032,PS ROBINSON EMTERPRISES LLC,25,25,"Osceola, Polk","DAVENPORT, KISSIMMEE",4078020749,78.0,Paul Robinson,,https://www.linkedin.com/in/paul-robinson-45004b72,,"Missing: Website, Email"
646,LUX ST. AUGUSTINE VACATION RENTALS,41,41,St. Johns,"ST AUGUSTINE, ST. AUGUSTINE",9047704826,77.7,Michael W Kluger,,,https://luxstavacay.com/,"Missing: LinkedIn, Email"
693,GASPARVILLAS ISLAND RENTALS IN,39,35,"Charlotte, Sarasota","ENGLEWOOD, PLACIDA, PORT CHARLOTTE, ROTONDA WEST",941-697-9797,77.7,,,,,"Missing: Owner Name, LinkedIn, Website, Email"
709,GIBSON BEACH RENTALS INC.,38,25,"Bay, Walton","DESTIN, MIRAMAR BEACH, PANAMA CITY BEACH",8506366651,77.7,Joanna Gibson,,https://www.linkedin.com/in/joanna-gibson,https://www.gibsonbeachrentals.com/,Missing: Email
826,BAY HAVEN MANAGEMENT LLC,32,27,Palm Beach,"JUPITER, LANTANA, NORTH PALM BEACH, PALM BEACH GARDENS, PALM BEACH SHORES, RIVIERA BEACH, WEST PALM BEACH",5614596368,77.7,Joel Poulin,,,,"Missing: LinkedIn, Website, Email"
561,EXCLUSIVE 30A LLC,48,48,"Bay, Walton","INLET BEACH, PANAMA CITY BEACH, SANTA ROSA BEACH, WATERSOUND",,77.6,Abbey Sports,,https://www.linkedin.com/in/abbey-sports-2a465b15b,"https://www.paradise30a.com/2026/02/13/what-are-the-top-reasons-to-stay-on-30a-in-florida/#:~:text=The%20beaches%20along%2030A%20are,another%20layer%20of%20natural%20appeal.",Missing: Email
765,SUNSTREAM HOTELS AND RESORTS LLC,36,36,Lee,"FT MYERS BEACH, FT. MYERS BEACH, FT. MYERS BEACH ",239-765-4111,77.6,David A Lawrence,,,,"Missing: LinkedIn, Website, Email"
575,"HAMILTON, JACQUE",47,47,"Bay, Walton","INLET BEACH, PANAMA CITY BEACH, ROSEMARY BEACH, SANTA ROSA BEACH",336-926-4425,77.2,Juan F Elizalde,,https://www.linkedin.com/in/juan-elizalde-1b65416a,,"Missing: Website, Email"
770,CABOT CITRUS OPCO LLC,35,35,Hernando,BROOKSVILLE,352-796-5500,77.2,Cdh Citrus Co.,,,"https://www.hotel-online.com/news/restoration-plans-underway-at-historic-plantation-resort-on-crystal-river#:~:text=The%20historic%20Plantation%20Resort%20on,from%20last%20year's%20hurricane%20season.","Missing: LinkedIn, Email"
774,GRAYT 30A VACATIONS INC,35,35,Walton,SANTA ROSA BEACH,844-941-1213,77.2,Jerri P Bryant,,,https://www.grayt30avacations.com/property-management-solutions,"Missing: LinkedIn, Email"
